name;year;count
Aegidii;2010;903
Überwasser;2010;954
Dom;2010;1508
Buddenturm;2010;1401
Martini;2010;931
Altstadt;2010;5697
Pluggendorf;2010;2761
Josef;2010;5640
Bahnhof;2010;818
Hansaplatz;2010;4655
Mauritz-West;2010;3978
Schlachthof;2010;2856
Kreuz;2010;7678
Neutor;2010;2717
Schloss;2010;1185
Innenstadtring;2010;32288
Aaseestadt;2010;2990
Geist;2010;5093
Schützenhof;2010;4707
Düesberg;2010;3410
Mitte-Süd;2010;16200
Hafen;2010;727
Herz-Jesu;2010;2759
Mauritz-Mitte;2010;5944
Rumphorst;2010;3990
Uppenberg;2010;4604
Mitte-Nordost;2010;18024
Mitte;2010;72209
Gievenbeck;2010;8998
Sentrup;2010;3766
Mecklenbeck;2010;4407
Albachten;2010;2324
Roxel;2010;3953
Nienberge;2010;3196
West;2010;26644
Coerde;2010;4506
Kinderhaus-Ost;2010;2560
Kinderhaus-West;2010;4678
Sprakel;2010;1260
Nord;2010;13004
Mauritz-Ost;2010;5004
Gelmer-Dyckburg;2010;1536
Handorf;2010;3290
Ost;2010;9830
Gremmendorf-West;2010;2163
Gremmendorf-Ost;2010;2907
Angelmodde;2010;3528
Wolbeck;2010;3927
Südost;2010;12525
Berg Fidel;2010;2491
Hiltrup-Ost;2010;2968
Hiltrup-Mitte;2010;4947
Hiltrup-West;2010;3938
Amelsbüren;2010;2322
Hiltrup;2010;16666
Münster;2010;150878
Aegidii;2011;998
Überwasser;2011;1073
Dom;2011;1642
Buddenturm;2011;1538
Martini;2011;1017
Altstadt;2011;6268
Pluggendorf;2011;3079
Josef;2011;6046
Bahnhof;2011;895
Hansaplatz;2011;5015
Mauritz-West;2011;4257
Schlachthof;2011;3062
Kreuz;2011;8287
Neutor;2011;3159
Schloss;2011;1314
Innenstadtring;2011;35114
Aaseestadt;2011;3108
Geist;2011;5342
Schützenhof;2011;5063
Düesberg;2011;3485
Mitte-Süd;2011;16998
Hafen;2011;801
Herz-Jesu;2011;2911
Mauritz-Mitte;2011;6181
Rumphorst;2011;4153
Uppenberg;2011;4990
Mitte-Nordost;2011;19036
Mitte;2011;77416
Gievenbeck;2011;10170
Sentrup;2011;4339
Mecklenbeck;2011;4697
Albachten;2011;2414
Roxel;2011;4185
Nienberge;2011;3395
West;2011;29200
Coerde;2011;4673
Kinderhaus-Ost;2011;2623
Kinderhaus-West;2011;4905
Sprakel;2011;1269
Nord;2011;13470
Mauritz-Ost;2011;5200
Gelmer-Dyckburg;2011;1584
Handorf;2011;3421
Ost;2011;10205
Gremmendorf-West;2011;2215
Gremmendorf-Ost;2011;2978
Angelmodde;2011;3626
Wolbeck;2011;4025
Südost;2011;12844
Berg Fidel;2011;2580
Hiltrup-Ost;2011;3016
Hiltrup-Mitte;2011;5093
Hiltrup-West;2011;4083
Amelsbüren;2011;2384
Hiltrup;2011;17156
Münster;2011;160291
Aegidii;2012;1001
Überwasser;2012;1049
Dom;2012;1602
Buddenturm;2012;1546
Martini;2012;1024
Altstadt;2012;6222
Pluggendorf;2012;3072
Josef;2012;6031
Bahnhof;2012;880
Hansaplatz;2012;5024
Mauritz-West;2012;4238
Schlachthof;2012;3101
Kreuz;2012;8266
Neutor;2012;3071
Schloss;2012;1295
Innenstadtring;2012;34978
Aaseestadt;2012;3132
Geist;2012;5328
Schützenhof;2012;5063
Düesberg;2012;3504
Mitte-Süd;2012;17027
Hafen;2012;785
Herz-Jesu;2012;2926
Mauritz-Mitte;2012;6117
Rumphorst;2012;4212
Uppenberg;2012;5024
Mitte-Nordost;2012;19064
Mitte;2012;77291
Gievenbeck;2012;10428
Sentrup;2012;4422
Mecklenbeck;2012;4206
Albachten;2012;2464
Roxel;2012;4254
Nienberge;2012;3391
West;2012;29165
Coerde;2012;4714
Kinderhaus-Ost;2012;2628
Kinderhaus-West;2012;4895
Sprakel;2012;1298
Nord;2012;13535
Mauritz-Ost;2012;5295
Gelmer-Dyckburg;2012;1625
Handorf;2012;3474
Ost;2012;10394
Gremmendorf-West;2012;2225
Gremmendorf-Ost;2012;3012
Angelmodde;2012;3655
Wolbeck;2012;4062
Südost;2012;12954
Berg Fidel;2012;2583
Hiltrup-Ost;2012;2986
Hiltrup-Mitte;2012;5150
Hiltrup-West;2012;4174
Amelsbüren;2012;2422
Hiltrup;2012;17315
Münster;2012;160654
Aegidii;2013;995
Überwasser;2013;1054
Dom;2013;1611
Buddenturm;2013;1583
Martini;2013;1025
Altstadt;2013;6268
Pluggendorf;2013;3098
Josef;2013;6227
Bahnhof;2013;936
Hansaplatz;2013;4981
Mauritz-West;2013;4252
Schlachthof;2013;3139
Kreuz;2013;8223
Neutor;2013;3004
Schloss;2013;1304
Innenstadtring;2013;35164
Aaseestadt;2013;3159
Geist;2013;5350
Schützenhof;2013;5148
Düesberg;2013;3543
Mitte-Süd;2013;17200
Hafen;2013;793
Herz-Jesu;2013;2904
Mauritz-Mitte;2013;6211
Rumphorst;2013;4286
Uppenberg;2013;5079
Mitte-Nordost;2013;19273
Mitte;2013;77905
Gievenbeck;2013;10661
Sentrup;2013;4451
Mecklenbeck;2013;4306
Albachten;2013;2504
Roxel;2013;4264
Nienberge;2013;3440
West;2013;29626
Coerde;2013;4791
Kinderhaus-Ost;2013;2649
Kinderhaus-West;2013;4913
Sprakel;2013;1332
Nord;2013;13685
Mauritz-Ost;2013;5343
Gelmer-Dyckburg;2013;1658
Handorf;2013;3476
Ost;2013;10477
Gremmendorf-West;2013;2367
Gremmendorf-Ost;2013;3080
Angelmodde;2013;3831
Wolbeck;2013;4137
Südost;2013;13415
Berg Fidel;2013;2586
Hiltrup-Ost;2013;2995
Hiltrup-Mitte;2013;5164
Hiltrup-West;2013;4208
Amelsbüren;2013;2439
Hiltrup;2013;17392
Münster;2013;162500
Aegidii;2014;959
Überwasser;2014;1019
Dom;2014;1585
Buddenturm;2014;1589
Martini;2014;1027
Altstadt;2014;6179
Pluggendorf;2014;3140
Josef;2014;6217
Bahnhof;2014;968
Hansaplatz;2014;5024
Mauritz-West;2014;4282
Schlachthof;2014;3145
Kreuz;2014;8235
Neutor;2014;3005
Schloss;2014;1303
Innenstadtring;2014;35319
Aaseestadt;2014;3121
Geist;2014;5411
Schützenhof;2014;5152
Düesberg;2014;3549
Mitte-Süd;2014;17233
Hafen;2014;776
Herz-Jesu;2014;2956
Mauritz-Mitte;2014;6241
Rumphorst;2014;4265
Uppenberg;2014;5117
Mitte-Nordost;2014;19355
Mitte;2014;78086
Gievenbeck;2014;10748
Sentrup;2014;4542
Mecklenbeck;2014;4570
Albachten;2014;2558
Roxel;2014;4336
Nienberge;2014;3433
West;2014;30187
Coerde;2014;4885
Kinderhaus-Ost;2014;2661
Kinderhaus-West;2014;4914
Sprakel;2014;1364
Nord;2014;13824
Mauritz-Ost;2014;5375
Gelmer-Dyckburg;2014;1682
Handorf;2014;3521
Ost;2014;10578
Gremmendorf-West;2014;2430
Gremmendorf-Ost;2014;3109
Angelmodde;2014;3857
Wolbeck;2014;4183
Südost;2014;13579
Berg Fidel;2014;2614
Hiltrup-Ost;2014;3014
Hiltrup-Mitte;2014;5166
Hiltrup-West;2014;4278
Amelsbüren;2014;2426
Hiltrup;2014;17498
Münster;2014;163752
