name;year;Count0_19;Count20-29;Count30-39;Count40-49;Count50-59;Count60-69;Count70-79;count80+
Aegidii;2014;13;282;121;64;52;42;62;38
Überwasser;2014;35;437;114;52;47;31;31;32
Dom;2014;37;540;231;122;103;61;62;47
Buddenturm;2014;30;646;184;111;81;57;43;32
Martini;2014;37;363;122;66;55;34;54;36
Altstadt;2014;152;2268;772;415;338;225;252;185
Pluggendorf;2014;88;1106;436;183;193;100;99;94
Josef;2014;101;1993;883;427;405;222;195;185
Bahnhof;2014;20;433;134;66;45;18;19;15
Hansaplatz;2014;57;1640;880;415;360;177;116;112
Mauritz-West;2014;72;1177;594;369;350;184;127;93
Schlachthof;2014;34;553;349;238;258;204;163;113
Kreuz;2014;116;2141;987;593;647;453;324;247
Neutor;2014;66;1213;341;134;146;81;64;46
Schloss;2014;29;318;128;74;106;59;67;39
Innenstadtring;2014;583;10574;4732;2499;2510;1498;1174;944
Aaseestadt;2014;30;466;227;186;214;138;182;187
Geist;2014;62;1053;604;373;408;276;235;210
Schützenhof;2014;68;1422;752;416;384;203;167;129
Düesberg;2014;43;430;271;236;218;160;157;172
Mitte-Süd;2014;203;3371;1854;1211;1224;777;741;698
Hafen;2014;6;280;136;67;44;18;20;17
Herz-Jesu;2014;30;696;431;264;224;129;128;95
Mauritz-Mitte;2014;59;1047;646;466;594;320;310;321
Rumphorst;2014;46;539;284;268;323;196;193;218
Uppenberg;2014;77;1181;517;401;405;221;185;184
Mitte-Nordost;2014;218;3743;2014;1466;1590;884;836;835
Mitte;2014;1156;19956;9372;5591;5662;3384;3003;2662
Gievenbeck;2014;229;2624;738;402;430;329;230;192
Sentrup;2014;127;1760;318;157;155;117;104;126
Mecklenbeck;2014;81;518;242;250;325;236;198;178
Albachten;2014;11;91;75;105;158;118;116;82
Roxel;2014;35;422;280;306;311;207;209;118
Nienberge;2014;42;424;219;213;255;145;183;103
West;2014;525;5839;1872;1433;1634;1152;1040;799
Coerde;2014;48;264;253;294;393;251;259;232
Kinderhaus-Ost;2014;39;284;172;187;245;157;155;91
Kinderhaus-West;2014;40;331;233;238;350;268;305;186
Sprakel;2014;8;57;68;63;91;60;64;60
Nord;2014;135;936;726;782;1079;736;783;569
Mauritz-Ost;2014;57;415;378;363;413;274;299;294
Gelmer-Dyckburg;2014;7;87;80;106;125;81;70;50
Handorf;2014;14;134;129;159;208;149;228;168
Ost;2014;78;636;587;628;746;504;597;512
Gremmendorf-West;2014;28;263;147;177;182;113;91;85
Gremmendorf-Ost;2014;20;250;170;185;189;154;161;140
Angelmodde;2014;27;248;220;228;299;233;220;177
Wolbeck;2014;16;177;176;222;291;245;270;164
Südost;2014;91;938;713;812;961;745;742;566
Berg Fidel;2014;25;219;162;133;157;119;136;108
Hiltrup-Ost;2014;26;129;120;111;190;155;197;117
Hiltrup-Mitte;2014;27;390;362;392;446;328;307;269
Hiltrup-West;2014;26;217;212;262;318;247;180;87
Amelsbüren;2014;8;98;84;125;119;89;116;86
Hiltrup;2014;112;1053;940;1023;1230;938;936;667
Münster;2014;2097;29358;14210;10269;11312;7459;7101;5775
