name;year;count
Aegidii;2010;45
Überwasser;2010;38
Dom;2010;64
Buddenturm;2010;62
Martini;2010;51
Altstadt;2010;260
Pluggendorf;2010;100
Josef;2010;300
Bahnhof;2010;24
Hansaplatz;2010;242
Mauritz-West;2010;247
Schlachthof;2010;234
Kreuz;2010;540
Neutor;2010;121
Schloss;2010;91
Innenstadtring;2010;1899
Aaseestadt;2010;292
Geist;2010;452
Schützenhof;2010;314
Düesberg;2010;378
Mitte-Süd;2010;1436
Hafen;2010;40
Herz-Jesu;2010;167
Mauritz-Mitte;2010;494
Rumphorst;2010;458
Uppenberg;2010;360
Mitte-Nordost;2010;1519
Mitte;2010;5114
Gievenbeck;2010;1041
Sentrup;2010;272
Mecklenbeck;2010;550
Albachten;2010;386
Roxel;2010;526
Nienberge;2010;369
West;2010;3144
Coerde;2010;690
Kinderhaus-Ost;2010;293
Kinderhaus-West;2010;672
Sprakel;2010;168
Nord;2010;1823
Mauritz-Ost;2010;555
Gelmer-Dyckburg;2010;222
Handorf;2010;524
Ost;2010;1301
Gremmendorf-West;2010;288
Gremmendorf-Ost;2010;388
Angelmodde;2010;469
Wolbeck;2010;605
Südost;2010;1750
Berg Fidel;2010;369
Hiltrup-Ost;2010;464
Hiltrup-Mitte;2010;585
Hiltrup-West;2010;597
Amelsbüren;2010;392
Hiltrup;2010;2407
Münster;2010;15539
Aegidii;2011;45
Überwasser;2011;37
Dom;2011;69
Buddenturm;2011;63
Martini;2011;44
Altstadt;2011;258
Pluggendorf;2011;110
Josef;2011;301
Bahnhof;2011;23
Hansaplatz;2011;248
Mauritz-West;2011;246
Schlachthof;2011;237
Kreuz;2011;551
Neutor;2011;112
Schloss;2011;96
Innenstadtring;2011;1924
Aaseestadt;2011;282
Geist;2011;435
Schützenhof;2011;328
Düesberg;2011;388
Mitte-Süd;2011;1433
Hafen;2011;34
Herz-Jesu;2011;164
Mauritz-Mitte;2011;505
Rumphorst;2011;453
Uppenberg;2011;359
Mitte-Nordost;2011;1515
Mitte;2011;5130
Gievenbeck;2011;1018
Sentrup;2011;269
Mecklenbeck;2011;599
Albachten;2011;411
Roxel;2011;535
