name;year;count
Aegidii;2010;10
Überwasser;2010;4
Dom;2010;7
Buddenturm;2010;12
Martini;2010;5
Altstadt;2010;38
Pluggendorf;2010;7
Josef;2010;35
Bahnhof;2010;2
Hansaplatz;2010;36
Mauritz-West;2010;43
Schlachthof;2010;70
Kreuz;2010;86
Neutor;2010;30
Schloss;2010;18
Innenstadtring;2010;327
Aaseestadt;2010;56
Geist;2010;104
Schützenhof;2010;62
Düesberg;2010;126
Mitte-Süd;2010;348
Hafen;2010;2
Herz-Jesu;2010;45
Mauritz-Mitte;2010;117
Rumphorst;2010;139
Uppenberg;2010;110
Mitte-Nordost;2010;413
Mitte;2010;1126
Gievenbeck;2010;460
Sentrup;2010;146
Mecklenbeck;2010;208
Albachten;2010;174
Roxel;2010;208
Nienberge;2010;144
West;2010;1340
Coerde;2010;299
Kinderhaus-Ost;2010;70
Kinderhaus-West;2010;287
Sprakel;2010;92
Nord;2010;748
Mauritz-Ost;2010;173
Gelmer-Dyckburg;2010;89
Handorf;2010;202
Ost;2010;464
Gremmendorf-West;2010;119
Gremmendorf-Ost;2010;142
Angelmodde;2010;161
Wolbeck;2010;188
Südost;2010;610
Berg Fidel;2010;130
Hiltrup-Ost;2010;125
Hiltrup-Mitte;2010;133
Hiltrup-West;2010;206
Amelsbüren;2010;180
Hiltrup;2010;774
Münster;2010;5062
Aegidii;2011;13
Überwasser;2011;5
Dom;2011;8
Buddenturm;2011;12
Martini;2011;5
Altstadt;2011;43
Pluggendorf;2011;5
Josef;2011;33
Bahnhof;2011;3
Hansaplatz;2011;38
Mauritz-West;2011;51
Schlachthof;2011;60
Kreuz;2011;91
Neutor;2011;30
Schloss;2011;21
Innenstadtring;2011;332
Aaseestadt;2011;61
Geist;2011;96
Schützenhof;2011;56
Düesberg;2011;128
Mitte-Süd;2011;341
Hafen;2011;3
Herz-Jesu;2011;40
Mauritz-Mitte;2011;113
Rumphorst;2011;141
Uppenberg;2011;114
Mitte-Nordost;2011;411
Mitte;2011;1127
Gievenbeck;2011;464
Sentrup;2011;139
Mecklenbeck;2011;194
Albachten;2011;165
Roxel;2011;217
Nienberge;2011;154
West;2011;1333
Coerde;2011;299
Kinderhaus-Ost;2011;62
Kinderhaus-West;2011;264
Sprakel;2011;97
Nord;2011;722
Mauritz-Ost;2011;168
Gelmer-Dyckburg;2011;87
Handorf;2011;198
Ost;2011;453
Gremmendorf-West;2011;114
Gremmendorf-Ost;2011;139
Angelmodde;2011;157
Wolbeck;2011;185
Südost;2011;595
Berg Fidel;2011;127
Hiltrup-Ost;2011;123
Hiltrup-Mitte;2011;130
Hiltrup-West;2011;199
Amelsbüren;2011;192
Hiltrup;2011;771
Münster;2011;5001
Aegidii;2012;12
Überwasser;2012;2
Dom;2012;6
Buddenturm;2012;10
Martini;2012;2
Altstadt;2012;32
Pluggendorf;2012;8
Josef;2012;36
Bahnhof;2012;3
Hansaplatz;2012;41
Mauritz-West;2012;44
Schlachthof;2012;53
Kreuz;2012;93
Neutor;2012;29
Schloss;2012;16
Innenstadtring;2012;323
Aaseestadt;2012;63
Geist;2012;102
Schützenhof;2012;56
Düesberg;2012;129
Mitte-Süd;2012;350
Hafen;2012;5
Herz-Jesu;2012;39
Mauritz-Mitte;2012;108
Rumphorst;2012;138
Uppenberg;2012;107
Mitte-Nordost;2012;397
Mitte;2012;1102
Gievenbeck;2012;455
Sentrup;2012;133
Mecklenbeck;2012;192
Albachten;2012;164
Roxel;2012;217
Nienberge;2012;159
West;2012;1320
Coerde;2012;300
Kinderhaus-Ost;2012;67
Kinderhaus-West;2012;266
Sprakel;2012;99
Nord;2012;732
Mauritz-Ost;2012;161
Gelmer-Dyckburg;2012;86
Handorf;2012;190
Ost;2012;437
Gremmendorf-West;2012;109
Gremmendorf-Ost;2012;136
Angelmodde;2012;161
Wolbeck;2012;185
Südost;2012;591
Berg Fidel;2012;143
Hiltrup-Ost;2012;116
Hiltrup-Mitte;2012;124
Hiltrup-West;2012;196
Amelsbüren;2012;187
Hiltrup;2012;766
Münster;2012;4948
Aegidii;2013;12
Überwasser;2013;3
Dom;2013;8
Buddenturm;2013;9
Martini;2013;1
Altstadt;2013;33
Pluggendorf;2013;7
Josef;2013;36
Bahnhof;2013;1
Hansaplatz;2013;31
Mauritz-West;2013;49
Schlachthof;2013;55
Kreuz;2013;100
Neutor;2013;30
Schloss;2013;16
Innenstadtring;2013;325
Aaseestadt;2013;56
Geist;2013;94
Schützenhof;2013;64
Düesberg;2013;137
Mitte-Süd;2013;351
Hafen;2013;4
Herz-Jesu;2013;38
Mauritz-Mitte;2013;105
Rumphorst;2013;136
Uppenberg;2013;107
Mitte-Nordost;2013;390
Mitte;2013;1099
Gievenbeck;2013;477
Sentrup;2013;137
Mecklenbeck;2013;187
Albachten;2013;168
Roxel;2013;220
Nienberge;2013;165
West;2013;1354
Coerde;2013;305
Kinderhaus-Ost;2013;79
Kinderhaus-West;2013;276
Sprakel;2013;89
Nord;2013;749
Mauritz-Ost;2013;150
Gelmer-Dyckburg;2013;77
Handorf;2013;203
Ost;2013;430
Gremmendorf-West;2013;99
Gremmendorf-Ost;2013;127
Angelmodde;2013;168
Wolbeck;2013;184
Südost;2013;578
Berg Fidel;2013;135
Hiltrup-Ost;2013;112
Hiltrup-Mitte;2013;127
Hiltrup-West;2013;176
Amelsbüren;2013;189
Hiltrup;2013;739
Münster;2013;4949
Aegidii;2014;11
Überwasser;2014;3
Dom;2014;10
Buddenturm;2014;12
Martini;2014;2
Altstadt;2014;38
Pluggendorf;2014;13
Josef;2014;35
Bahnhof;2014;4
Hansaplatz;2014;32
Mauritz-West;2014;40
Schlachthof;2014;69
Kreuz;2014;97
Neutor;2014;30
Schloss;2014;14
Innenstadtring;2014;334
Aaseestadt;2014;61
Geist;2014;87
Schützenhof;2014;64
Düesberg;2014;137
Mitte-Süd;2014;349
Hafen;2014;6
Herz-Jesu;2014;41
Mauritz-Mitte;2014;99
Rumphorst;2014;144
Uppenberg;2014;107
Mitte-Nordost;2014;397
Mitte;2014;1118
Gievenbeck;2014;498
Sentrup;2014;148
Mecklenbeck;2014;185
Albachten;2014;174
Roxel;2014;216
Nienberge;2014;159
West;2014;1380
Coerde;2014;321
Kinderhaus-Ost;2014;83
Kinderhaus-West;2014;291
Sprakel;2014;86
Nord;2014;781
Mauritz-Ost;2014;152
Gelmer-Dyckburg;2014;75
Handorf;2014;205
Ost;2014;432
Gremmendorf-West;2014;105
Gremmendorf-Ost;2014;125
Angelmodde;2014;175
Wolbeck;2014;179
Südost;2014;584
Berg Fidel;2014;124
Hiltrup-Ost;2014;109
Hiltrup-Mitte;2014;125
Hiltrup-West;2014;169
Amelsbüren;2014;182
Hiltrup;2014;709
Münster;2014;5004
