name;year;count
Aegidii;2010;15
Überwasser;2010;13
Dom;2010;18
Buddenturm;2010;26
Martini;2010;18
Altstadt;2010;90
Pluggendorf;2010;35
Josef;2010;97
Bahnhof;2010;6
Hansaplatz;2010;99
Mauritz-West;2010;105
Schlachthof;2010;116
Kreuz;2010;185
Neutor;2010;32
Schloss;2010;17
Innenstadtring;2010;692
Aaseestadt;2010;116
Geist;2010;246
Schützenhof;2010;129
Düesberg;2010;109
Mitte-Süd;2010;600
Hafen;2010;13
Herz-Jesu;2010;75
Mauritz-Mitte;2010;198
Rumphorst;2010;199
Uppenberg;2010;192
Mitte-Nordost;2010;677
Mitte;2010;2059
Gievenbeck;2010;408
Sentrup;2010;53
Mecklenbeck;2010;151
Albachten;2010;100
Roxel;2010;151
Nienberge;2010;88
West;2010;951
Coerde;2010;393
Kinderhaus-Ost;2010;129
Kinderhaus-West;2010;293
Sprakel;2010;42
Nord;2010;857
Mauritz-Ost;2010;183
Gelmer-Dyckburg;2010;53
Handorf;2010;131
Ost;2010;367
Gremmendorf-West;2010;105
Gremmendorf-Ost;2010;144
Angelmodde;2010;189
Wolbeck;2010;187
Südost;2010;625
Berg Fidel;2010;162
Hiltrup-Ost;2010;112
Hiltrup-Mitte;2010;298
Hiltrup-West;2010;216
Amelsbüren;2010;78
Hiltrup;2010;866
Münster;2010;5725
Aegidii;2011;19
Überwasser;2011;15
Dom;2011;23
Buddenturm;2011;29
Martini;2011;19
Altstadt;2011;105
Pluggendorf;2011;29
Josef;2011;111
Bahnhof;2011;6
Hansaplatz;2011;90
Mauritz-West;2011;103
Schlachthof;2011;115
Kreuz;2011;195
Neutor;2011;42
Schloss;2011;20
Innenstadtring;2011;711
Aaseestadt;2011;112
Geist;2011;252
Schützenhof;2011;139
Düesberg;2011;101
Mitte-Süd;2011;604
Hafen;2011;11
Herz-Jesu;2011;74
Mauritz-Mitte;2011;191
Rumphorst;2011;200
Uppenberg;2011;197
Mitte-Nordost;2011;673
Mitte;2011;2093
Gievenbeck;2011;424
Sentrup;2011;65
Mecklenbeck;2011;160
Albachten;2011;107
Roxel;2011;151
Nienberge;2011;92
West;2011;999
Coerde;2011;399
Kinderhaus-Ost;2011;129
Kinderhaus-West;2011;311
Sprakel;2011;44
Nord;2011;883
Mauritz-Ost;2011;185
Gelmer-Dyckburg;2011;56
Handorf;2011;142
Ost;2011;383
Gremmendorf-West;2011;102
Gremmendorf-Ost;2011;150
Angelmodde;2011;192
Wolbeck;2011;196
Südost;2011;640
Berg Fidel;2011;174
Hiltrup-Ost;2011;110
Hiltrup-Mitte;2011;286
Hiltrup-West;2011;225
Amelsbüren;2011;90
Hiltrup;2011;885
Münster;2011;5883
Aegidii;2012;17
Überwasser;2012;15
Dom;2012;14
Buddenturm;2012;20
Martini;2012;18
Altstadt;2012;84
Pluggendorf;2012;29
Josef;2012;109
Bahnhof;2012;7
Hansaplatz;2012;82
Mauritz-West;2012;103
Schlachthof;2012;106
Kreuz;2012;181
Neutor;2012;46
Schloss;2012;23
Innenstadtring;2012;686
Aaseestadt;2012;121
Geist;2012;234
Schützenhof;2012;147
Düesberg;2012;111
Mitte-Süd;2012;613
Hafen;2012;5
Herz-Jesu;2012;72
Mauritz-Mitte;2012;180
Rumphorst;2012;194
Uppenberg;2012;193
Mitte-Nordost;2012;644
Mitte;2012;2027
Gievenbeck;2012;409
Sentrup;2012;68
Mecklenbeck;2012;150
Albachten;2012;124
Roxel;2012;148
Nienberge;2012;84
West;2012;983
Coerde;2012;406
Kinderhaus-Ost;2012;134
Kinderhaus-West;2012;314
Sprakel;2012;49
Nord;2012;903
Mauritz-Ost;2012;184
Gelmer-Dyckburg;2012;61
Handorf;2012;151
Ost;2012;396
Gremmendorf-West;2012;98
Gremmendorf-Ost;2012;149
Angelmodde;2012;195
Wolbeck;2012;204
Südost;2012;646
Berg Fidel;2012;186
Hiltrup-Ost;2012;116
Hiltrup-Mitte;2012;282
Hiltrup-West;2012;236
Amelsbüren;2012;101
Hiltrup;2012;921
Münster;2012;5876
Aegidii;2013;16
Überwasser;2013;17
Dom;2013;14
Buddenturm;2013;21
Martini;2013;13
Altstadt;2013;81
Pluggendorf;2013;37
Josef;2013;99
Bahnhof;2013;5
Hansaplatz;2013;78
Mauritz-West;2013;103
Schlachthof;2013;103
Kreuz;2013;178
Neutor;2013;40
Schloss;2013;18
